id_org,long,lat,type,id,coordinate
V4271C0,121.51625,25.02308,vd,189,"25.02308,121.51625"
V4280C0,121.5359,24.99858,vd,190,"24.99858,121.5359"
V4290C0,121.52564,25.0155,vd,191,"25.0155,121.52564"
V4291E0,121.52292,25.02042,vd,192,"25.02042,121.52292"
V42A0D0,121.53088000000001,25.01,vd,193,"25.01,121.53088000000001"
V42B0D0,121.53535,25.00297,vd,194,"25.00297,121.53535"
V42B1D0,121.53391,25.00871,vd,195,"25.00871,121.53391"
V42B1E0,121.54035,25.013720000000003,vd,196,"25.013720000000003,121.54035"
V42C0E0,121.53341,24.99205,vd,197,"24.99205,121.53341"
V42E2E0,121.51661000000001,25.021829999999998,vd,198,"25.021829999999998,121.51661000000001"
V42F2E0,121.5008,25.01827,vd,199,"25.01827,121.5008"
V42I2E0,121.52308000000001,25.019779999999997,vd,200,"25.019779999999997,121.52308000000001"
V42K2C0,121.49327,25.019070000000003,vd,201,"25.019070000000003,121.49327"
V42K2C1,121.48961000000001,25.02725,vd,202,"25.02725,121.48961000000001"
V4NJD00,121.52892,25.11713,vd,203,"25.11713,121.52892"
V4VDD40,121.51131000000001,25.108439999999998,vd,204,"25.108439999999998,121.51131000000001"
V5050A0,121.49248999999999,25.03685,vd,205,"25.03685,121.49248999999999"
V5051A0,121.4911,25.03639,vd,206,"25.03639,121.4911"
V5060B0,121.49869,25.04074,vd,207,"25.04074,121.49869"
V5062G0,121.50781,25.05067,vd,208,"25.05067,121.50781"
V5070A0,121.50786000000001,25.05507,vd,209,"25.05507,121.50786000000001"
V5070A1,121.50208,25.04502,vd,210,"25.04502,121.50208"
V5070A2,121.50544,25.04802,vd,211,"25.04802,121.50544"
V5080A0,121.50747,25.054470000000002,vd,212,"25.054470000000002,121.50747"
V50B0A0,121.5071,25.082710000000002,vd,213,"25.082710000000002,121.5071"
V50C2A0,121.49947,25.04199,vd,214,"25.04199,121.49947"
V5250E0,121.50652,25.050720000000002,vd,215,"25.050720000000002,121.50652"
V5260E0,121.49588,25.039,vd,216,"25.039,121.49588"
V5261E0,121.50639,25.04919,vd,217,"25.04919,121.50639"
V5261F0,121.50464,25.04774,vd,218,"25.04774,121.50464"
V5271E0,121.50142,25.04514,vd,219,"25.04514,121.50142"
V52A0E0,121.48836000000001,25.03172,vd,220,"25.03172,121.48836000000001"
V52B1E0,121.49569,25.016379999999998,vd,221,"25.016379999999998,121.49569"
